,Label,Checkpoint,OriginalLoss,AblatedLoss,AblationIncrease
101,L0N880,90,3.0362361305952072,3.036389712691307,0.00015358209609983575
102,L0N1,90,3.0362361305952072,3.036444061398506,0.0002079308032989502
103,L1N896,90,3.0362361305952072,3.036501346230507,0.00026521563529957604
104,L5N1327,90,3.0362361305952072,3.036786514520645,0.0005503839254377141
105,L1N253,90,3.0362361305952072,3.0363124680519102,7.633745670299064e-05
106,L2N1675,90,3.0362361305952072,3.0373541355133056,0.0011180049180983254
107,L3N452,90,3.0362361305952072,3.0368607491254807,0.000624618530273402
108,L1N1060,90,3.0362361305952072,3.0361947071552278,-4.142343997948217e-05
109,L0N1183,90,3.0362361305952072,3.0364065158367155,0.00017038524150825296
110,L2N2035,100,3.04618197619915,3.046417372226715,0.00023539602756494915
111,L3N1595,100,3.04618197619915,3.0546799528598787,0.00849797666072849
112,L0N880,100,3.04618197619915,3.046425895690918,0.00024391949176783
113,L0N1,100,3.04618197619915,3.046860474348068,0.0006784981489178499
114,L1N896,100,3.04618197619915,3.0462493181228636,6.73419237133821e-05
115,L5N1327,100,3.04618197619915,3.046750108003616,0.00056813180446591
116,L1N253,100,3.04618197619915,3.0463328099250795,0.00015083372592927802
117,L2N1675,100,3.04618197619915,3.0471664452552796,0.0009844690561293667
118,L3N452,100,3.04618197619915,3.046238345503807,5.636930465691137e-05
119,L1N1060,100,3.04618197619915,3.046078090071678,-0.00010388612747203041
120,L0N1183,100,3.04618197619915,3.0464640563726424,0.00028208017349218295
121,L2N2035,110,3.0252207279205323,3.0253193974494934,9.866952896109282e-05
122,L3N1595,110,3.0252207279205323,3.0358457189798354,0.010624991059303035
123,L0N880,110,3.0252207279205323,3.025565824508667,0.0003450965881346413
124,L0N1,110,3.0252207279205323,3.025882515311241,0.0006617873907086569
125,L1N896,110,3.0252207279205323,3.025435547232628,0.00021481931209565985
126,L5N1327,110,3.0252207279205323,3.0259586399793625,0.0007379120588302257
127,L1N253,110,3.0252207279205323,3.0254250490665435,0.00020432114601121043
128,L2N1675,110,3.0252207279205323,3.027086017727852,0.0018652898073194812
129,L3N452,110,3.0252207279205323,3.0255048948526384,0.0002841669321060891
130,L1N1060,110,3.0252207279205323,3.025245183110237,2.445518970484173e-05
131,L0N1183,110,3.0252207279205323,3.025551676154137,0.0003309482336044667
132,L2N2035,120,2.9985334247350695,2.9987655502557753,0.00023212552070583925
133,L3N1595,120,2.9985334247350695,3.0089831703901293,0.01044974565505985
134,L0N880,120,2.9985334247350695,2.998630822300911,9.739756584137282e-05
135,L0N1,120,2.9985334247350695,2.9990109729766847,0.00047754824161527765
136,L1N896,120,2.9985334247350695,2.998670124411583,0.00013669967651352977
137,L5N1327,120,2.9985334247350695,2.999233096241951,0.0006996715068816606
138,L1N253,120,2.9985334247350695,2.998564322590828,3.0897855758382775e-05
139,L2N1675,120,2.9985334247350695,2.999891920685768,0.0013584959506984795
140,L3N452,120,2.9985334247350695,2.9989038091897964,0.00037038445472692416
141,L1N1060,120,2.9985334247350695,2.9983952313661577,-0.00013819336891174316
142,L0N1183,120,2.9985334247350695,2.9987020617723465,0.00016863703727709733
143,L2N2035,130,3.006283214092255,3.0063980406522752,0.00011482656002037572
144,L3N1595,130,3.006283214092255,3.0175700283050535,0.011286814212798646
145,L0N880,130,3.006283214092255,3.006527080535889,0.00024386644363394439
146,L0N1,130,3.006283214092255,3.0070467275381088,0.0007635134458539028
147,L1N896,130,3.006283214092255,3.006472138762474,0.00018892467021913717
148,L5N1327,130,3.006283214092255,3.007402620911598,0.0011194068193431939
149,L1N253,130,3.006283214092255,3.0064847272634507,0.0002015131711958773
150,L2N1675,130,3.006283214092255,3.0077061945199968,0.0014229804277419156
151,L3N452,130,3.006283214092255,3.0064238005876542,0.00014058649539938628
152,L1N1060,130,3.006283214092255,3.006239958405495,-4.325568676000202e-05
153,L0N1183,130,3.006283214092255,3.006412066221237,0.0001288521289821709
154,L2N2035,140,3.0272729033231736,3.02768553674221,0.0004126334190366343
155,L3N1595,140,3.0272729033231736,3.0381954020261763,0.01092249870300277
156,L0N880,140,3.0272729033231736,3.027333904504776,6.1001181602460264e-05
157,L0N1,140,3.0272729033231736,3.02789545416832,0.0006225508451462858
158,L1N896,140,3.0272729033231736,3.0274807435274123,0.0002078402042386962
159,L5N1327,140,3.0272729033231736,3.0282707756757734,0.000997872352599849
160,L1N253,140,3.0272729033231736,3.027574208378792,0.00030130505561842824
161,L2N1675,140,3.0272729033231736,3.0288122940063475,0.0015393906831739912
162,L3N452,140,3.0272729033231736,3.0275028651952742,0.0002299618721006702
163,L1N1060,140,3.0272729033231736,3.0271268635988235,-0.0001460397243500111
164,L0N1183,140,3.0272729033231736,3.0276232463121415,0.00035034298896796656
