FirstToken,Checkpoint,GermanLogit,EnglishLogit,GermanLogitAblated,EnglishLogitAblated
512,28,7.329079627990723,12.370735168457031,7.355302810668945,12.364683151245117
8215,28,1.6556885242462158,9.964272499084473,1.6554054021835327,9.964205741882324
4151,28,6.186827659606934,9.084787368774414,6.213587760925293,9.085152626037598
67,28,5.291513919830322,4.1618499755859375,5.2946953773498535,4.1626505851745605
77,28,5.960968017578125,2.0958099365234375,5.975249290466309,2.105264663696289
588,28,6.373394012451172,11.939836502075195,6.378511428833008,11.939996719360352
594,28,7.5535173416137695,10.156752586364746,7.567880153656006,10.15887451171875
4200,28,4.6204423904418945,11.105369567871094,4.631380081176758,11.103004455566406
659,28,10.652411460876465,8.979416847229004,10.65096664428711,8.864727973937988
717,28,4.947745323181152,9.485332489013672,4.954904556274414,9.49106502532959
246,28,6.013869285583496,4.891755104064941,6.018150329589844,4.898155212402344
6398,28,2.689742088317871,8.977109909057617,2.709731340408325,8.974981307983398
271,28,3.936807155609131,9.12274169921875,3.96505069732666,9.122265815734863
275,28,5.665284156799316,12.077999114990234,5.658674240112305,12.078033447265625
285,28,2.38356351852417,12.056090354919434,2.4124393463134766,12.052867889404297
287,28,5.639934539794922,6.434042930603027,5.653592109680176,6.438539505004883
309,28,4.9882307052612305,11.059497833251953,4.997239112854004,11.053387641906738
311,28,6.137039661407471,4.9493536949157715,6.156320095062256,4.946116924285889
312,28,3.862783908843994,1.5323759317398071,3.8806159496307373,1.5242869853973389
320,28,6.184863090515137,13.194884300231934,6.179368495941162,13.198592185974121
322,28,5.276977062225342,8.414060592651367,5.2832865715026855,8.418643951416016
323,28,3.2901430130004883,13.736946105957031,3.281449794769287,13.738957405090332
359,28,7.9445366859436035,14.160848617553711,7.945647716522217,14.163898468017578
367,28,8.398247718811035,8.380849838256836,8.268013954162598,8.322600364685059
417,28,5.988662242889404,8.835380554199219,5.980933666229248,8.838607788085938
430,28,7.189003944396973,5.883533000946045,7.196210861206055,5.8870697021484375
990,28,4.7307915687561035,11.544389724731445,4.74781608581543,11.535400390625
479,28,8.45393180847168,10.48115348815918,8.475069046020508,10.481521606445312
512,29,6.578291416168213,12.46904468536377,6.608368396759033,12.467692375183105
