,L0 direction,L1 direction,Original loss,L0 direction ablation loss,L1 direction ablation loss,Cosine similarity,L1 activation,L1 activation after ablation
30,12920,6530,0.22437863431405275,0.6279987066984176,0.1790755409747362,0.4114900529384613,4.267905521392822,1.9350507497787475
31,14135,10594,2.7005150377750398,2.4684433460235597,2.918505322933197,0.4112122654914856,4.143594598770141,1.9588006436824799
32,7883,3617,0.6876288551837206,2.6864253520965575,0.3065972409909591,0.4108462631702423,6.63721227645874,1.4334034085273744
33,14838,7887,0.8566105417907238,3.3772884011268616,1.1062237605452538,0.4103567600250244,3.854833459854126,1.8452069878578186
34,7027,6530,0.7099091948010028,0.9541104093194008,0.8238864298909903,0.41019579768180847,4.9658695459365845,2.2543684124946592
35,12325,10359,2.45484169870615,3.889499509334564,3.3318944692611696,0.40944528579711914,7.009542465209961,3.617933285236359
36,1292,579,0.8999541517696343,1.8294967368245125,0.9308271583984606,0.4089052677154541,4.908345317840576,2.3275922298431397
37,15338,6293,0.0006203408502187813,0.8363273240625858,0.0016144934928888689,0.40847572684288025,7.465173387527466,4.045039439201355
38,2256,2208,1.5866073697805405,2.1522923961281775,1.622503501176834,0.4036576747894287,6.81611270904541,2.6564157724380495
39,10206,857,1.2689323763363063,2.9445123128592967,1.6196526075480506,0.40314334630966187,4.955088639259339,1.391515064239502
40,11902,7412,0.006385194696485996,0.39809488244354724,0.017637894744984804,0.4016478955745697,5.680813598632812,3.115942430496216
41,15204,13053,0.9286612547934056,0.9991047933697701,0.9634320102632046,0.4009711444377899,0.4581665739417076,0.20975375771522523
42,13177,12868,0.011600388586521149,7.199961805343628,0.05283121839165687,0.40069258213043213,6.762088871002197,2.0668471097946166
43,7105,880,0.0015161320283368696,3.934233021736145,0.32484242375940087,0.39987266063690186,6.098587512969971,1.4172280788421632
44,13513,1014,1.4522257087752224,2.0330747306346892,1.7555045633576811,0.3995938003063202,6.264833068847656,1.8415005266666413
45,13378,1193,0.34653035197407006,1.5041023358702659,0.3579981023445725,0.39882925152778625,5.057212829589844,2.295820617675781
46,15114,9028,0.0006563202892721165,2.6775479137897493,0.009971286455402151,0.3979903757572174,6.969293689727783,1.8447985172271728
47,6912,4274,1.3718896039761603,1.207429366884753,1.421874346351251,0.3949437141418457,0.38726700842380524,0.001081615686416626
48,2262,1295,0.38324336856603625,1.5534083291888237,1.154772362858057,0.39407649636268616,12.339970874786378,1.4804571270942688
49,16342,5167,0.12085575377277565,0.2814696250483394,0.2428452930325875,0.39406079053878784,8.027023792266846,2.9018781661987303
50,3366,40,1.5915260173380374,1.8603923849761486,1.693833313882351,0.39294442534446716,5.4753947257995605,2.3456469535827638
51,7020,3939,0.7496866886038334,1.1288521200418473,0.6610224687494337,0.3920910358428955,0.1658839464187622,0.31147426962852476
52,5478,2730,0.12583390744403006,0.2560464692302048,0.15376833730260842,0.3914124667644501,7.109377765655518,3.3629834413528443
53,6624,5138,0.004441105139267165,0.7896415390074253,0.07337958430871368,0.3912273347377777,5.975547838211059,3.8267934560775756
