Trigram,Original,Ablated,Direct Effect,Indirect Effect
ak verwend,3.9451026916503906,6.068336009979248,3.9286563396453857,6.178888320922852
ien verwend,3.696096181869507,5.755062103271484,3.9051637649536133,5.844771385192871
auf verstä,4.1394877433776855,5.701171875,4.268348217010498,5.782447338104248
ittsländer,2.483294725418091,4.559708118438721,2.049570322036743,5.593817234039307
ischen Verträ,2.7585465908050537,4.202932834625244,1.4328811168670654,5.877577304840088
riezwe,5.613728046417236,8.506824493408203,7.4230217933654785,7.029748439788818
 sind untrenn,3.0236003398895264,5.163651466369629,3.389385938644409,5.602892875671387
 die gemacht,3.8860549926757812,6.619901180267334,3.4192895889282227,6.853095531463623
Vor der,5.396777153015137,6.829950332641602,5.404620170593262,7.113068580627441
 er spricht,4.172615051269531,4.60510778427124,2.047454595565796,7.307775497436523
 geschät,4.73439884185791,6.365855693817139,4.0862040519714355,7.287254333496094
 und Verwend,4.99335241317749,7.049501895904541,4.914107322692871,7.2158050537109375
 verhandeln,2.367849111557007,3.6408920288085938,2.927534818649292,4.378531455993652
 und all ih,4.691739559173584,6.836845397949219,5.017916202545166,7.070184230804443
sten Stunden,2.8632218837738037,4.526084899902344,3.40212345123291,4.815935134887695
enklichen,7.1653571128845215,8.490358352661133,7.083151817321777,9.027504920959473
kte verwend,4.133882522583008,5.974646091461182,3.954105854034424,6.315746784210205
ierung verwend,3.8808183670043945,6.346765041351318,4.23696756362915,6.186033248901367
rifft die,6.583732604980469,7.73778772354126,6.043479919433594,8.92603874206543
 sind zwe,2.851282835006714,4.509109020233154,2.349996566772461,5.273190975189209
 durchdacht,2.970966339111328,4.805287837982178,2.7827823162078857,5.309892654418945
 eine Einricht,3.1500420570373535,4.576982498168945,2.6413168907165527,5.689640998840332
ufstät,2.649553060531616,4.194777011871338,2.3498551845550537,4.98242712020874
 wir verdienen,2.5902726650238037,3.2454912662506104,1.2230441570281982,5.03300666809082
 Sie bestät,4.244609832763672,5.1305670738220215,2.7101025581359863,7.098280429840088
 einen Verwe,4.351720333099365,7.098868370056152,4.968419551849365,6.483579158782959
ungsländer,2.326569080352783,4.9592413902282715,2.1127426624298096,5.9442596435546875
 die Einricht,3.253325939178467,4.955010414123535,2.6565332412719727,6.070845603942871
ichtverwend,6.852731704711914,9.58009147644043,7.002494812011719,9.323650360107422
 für Binnen,4.751752853393555,6.165309429168701,4.1776251792907715,6.933904647827148
ings verschwe,6.06353235244751,9.749931335449219,6.649442195892334,8.990741729736328
 angewend,4.284433364868164,6.670040130615234,4.541187286376953,6.448155879974365
ine Schät,4.43280553817749,5.423846244812012,3.579258918762207,6.473956108093262
affen und,3.092745304107666,3.653229236602783,2.8449220657348633,4.26892614364624
 Zeit verwend,3.843329668045044,6.047842979431152,3.986741542816162,6.1325225830078125
 es verdienen,2.4552345275878906,3.724013090133667,1.659582495689392,4.894962787628174
i all den,3.7269113063812256,5.352256774902344,3.6345367431640625,5.755908489227295
 Man spricht,1.9909924268722534,2.651589870452881,0.8484494686126709,4.627953052520752
 und all dies,3.7569408416748047,5.563391208648682,3.6993064880371094,6.142271518707275
er spricht,4.419737339019775,4.965368747711182,2.364574432373047,7.578269004821777
 abgerissen,4.798527240753174,6.2223944664001465,4.551906585693359,6.688446998596191
erbsrecht,7.471606254577637,10.429319381713867,8.0699462890625,10.18448543548584
onds für die,1.6641525030136108,2.723339080810547,1.6401492357254028,3.0279572010040283
 Fangtät,4.759147644042969,6.08368444442749,4.519863605499268,6.7367706298828125
zeichnen,4.644059181213379,5.741034030914307,4.5144453048706055,5.87605094909668
atten verwend,3.6770055294036865,5.768118858337402,3.78372859954834,5.972878456115723
finden werden,5.816539287567139,6.141265869140625,4.638108253479004,7.7228007316589355
 den Rat zu,4.101130962371826,5.206427574157715,3.4013683795928955,6.14243745803833
en Einricht,3.1474645137786865,4.926531791687012,2.329167127609253,5.991768836975098
agieren zu,5.195859432220459,5.3852763175964355,3.961270332336426,6.881208419799805
es gestär,5.2428107261657715,7.417344570159912,4.810769081115723,8.035483360290527
 Ausschüssen,3.230691432952881,4.005064487457275,2.180126667022705,5.6557464599609375
gewacht,5.479221820831299,7.537790298461914,5.053072452545166,8.038460731506348
em expandieren,3.8302600383758545,4.491760730743408,2.278703451156616,6.111897945404053
 Fall bedacht,5.029550552368164,6.62052583694458,4.295488357543945,7.746675968170166
sicht der,5.65635347366333,6.393649578094482,4.98969841003418,7.456862449645996
 unter Beacht,3.164919376373291,4.880259990692139,2.537186622619629,5.648068904876709
te nacht,3.857088327407837,5.361198425292969,3.4407551288604736,5.9217424392700195
 den Rück,1.782817006111145,2.452636241912842,1.0892821550369263,3.644543409347534
Unter dies,5.698155879974365,7.570219993591309,5.52579927444458,8.211785316467285
 auszuwe,3.0169517993927,5.54080867767334,3.6154239177703857,5.459268093109131
 Jahre nach,3.7883946895599365,4.784825325012207,3.3644092082977295,5.415056228637695
rukturen,4.534221649169922,5.916982173919678,3.7955024242401123,6.872824668884277
 die Anwend,3.080627918243408,4.538722515106201,2.2418789863586426,5.533356666564941
tsmitteln,2.555168867111206,3.7770769596099854,1.7536702156066895,4.823863983154297
 Erfolge,2.786648750305176,4.03847074508667,2.718278169631958,4.662592887878418
 eine Verpf,3.901611328125,6.345814228057861,4.368833065032959,5.804811954498291
 die Verwend,4.735830307006836,6.917995452880859,4.761289119720459,7.072181701660156
icht befür,1.3682225942611694,2.990468978881836,1.7019048929214478,2.789329767227173
istgerecht,5.529055118560791,7.247892379760742,4.594966888427734,8.24515438079834
leinregierung,4.214991569519043,5.439032077789307,3.613011121749878,6.427701473236084
ungen verwend,4.123476505279541,6.065810203552246,4.01830530166626,6.360063552856445
Unter den,5.295650005340576,6.608394622802734,5.041796684265137,7.341982841491699
