Checkpoint,Trigram,Original Loss,Ablated Loss,Direct Effect Loss,Indirect Effect Loss
37, den Staaten,1.2556235790252686,1.4315136671066284,1.1997125148773193,1.5144420862197876
37, die verwend,4.14516544342041,4.260336875915527,3.6297760009765625,4.786581993103027
37, Halbzeit,2.7734973430633545,2.96411395072937,2.289088010787964,3.635035276412964
37, beeinflussen,2.13910174369812,2.908588171005249,2.345994710922241,2.676877975463867
37, was bestät,5.00855827331543,5.634304046630859,4.7323527336120605,6.018605709075928
37, Vertrags,0.7477810978889465,0.9256805181503296,1.003762125968933,0.7128379940986633
37,ich verschär,3.4884111881256104,4.170523643493652,3.5138320922851562,3.9978749752044678
37, die leichte,4.950966835021973,4.497737407684326,3.9519307613372803,5.540205001831055
37,an zwe,3.0505311489105225,3.549243688583374,2.8777873516082764,3.7804484367370605
37,ise bestät,4.830000400543213,5.507589817047119,4.414918899536133,5.970770835876465
37,osten verwend,3.5411882400512695,3.648963451385498,3.0623300075531006,4.174174785614014
37,agne verwend,3.3477425575256348,3.382530689239502,2.8122401237487793,3.963045358657837
37, aufzeigen,2.965873956680298,2.81497859954834,2.6170806884765625,3.2161030769348145
37,lungsländer,1.6250975131988525,1.6553082466125488,1.2383242845535278,2.1735801696777344
37,f verwend,3.6794381141662598,3.701310873031616,3.1057534217834473,4.314316749572754
37,rechen zu,5.277720928192139,5.082425594329834,4.330021381378174,6.1404709815979
37, missverstä,1.6897212266921997,2.6382837295532227,1.8024673461914062,2.5705809593200684
37,azu verwend,3.442462921142578,3.4988718032836914,2.840571165084839,4.153778076171875
37, Hinwe,0.9055228233337402,1.2961400747299194,0.8416631817817688,1.4274476766586304
37,lag gemacht,0.8026630282402039,1.0759798288345337,0.8060774803161621,1.1646995544433594
37, Anschlä,2.577083110809326,3.646183967590332,2.9643044471740723,3.345163583755493
37,chiedeten,6.810490608215332,7.091695308685303,6.088685035705566,7.916454792022705
37,ruck gestatten,4.198243141174316,4.958195686340332,4.2103729248046875,5.0210280418396
37, den Verträ,3.558469772338867,4.030221462249756,2.8167312145233154,4.797396183013916
37,wachungs,5.376465320587158,6.1615777015686035,5.410164833068848,6.157065391540527
37,ig wird und,3.853668451309204,3.906161069869995,3.5945448875427246,4.253417491912842
37,immt werden,4.920247554779053,5.025880813598633,4.4052958488464355,5.607797622680664
37,uen verwe,3.6784563064575195,4.166962623596191,3.5876569747924805,4.2913103103637695
37,ember beacht,5.525618076324463,6.580002307891846,6.553238391876221,5.65671443939209
37,lag für eine,2.7213048934936523,2.8040611743927,2.23930287361145,3.3894309997558594
37, anwenden,0.698897659778595,1.08244788646698,0.8155049681663513,1.0017054080963135
37, nicht veränder,3.679844379425049,3.449470043182373,3.084552764892578,4.111948013305664
37,angebracht,2.4611318111419678,3.5909197330474854,3.4818150997161865,2.6511828899383545
