Checkpoint,Type,Logprob
11,English,-1.5621275901794434
12,English,-2.7111244201660156
13,English,-1.539607048034668
14,English,-3.442301034927368
15,English,-2.468740224838257
16,English,-2.751476526260376
17,English,-3.090470552444458
18,English,-3.3818044662475586
19,English,-2.867946147918701
20,English,-3.4167397022247314
21,English,-3.543062925338745
22,English,-2.699977397918701
23,English,-5.319800853729248
24,English,-6.345563888549805
25,English,-5.3135175704956055
26,English,-6.1555891036987305
27,English,-7.206165313720703
28,English,-7.610613822937012
29,English,-7.1438822746276855
30,English,-7.54653263092041
31,English,-7.673742771148682
32,English,-7.896229267120361
33,English,-5.329989910125732
34,English,-3.908842086791992
35,English,-3.7765767574310303
36,English,-5.658829212188721
37,English,-6.894516468048096
38,English,-3.6863315105438232
39,English,-4.81512975692749
40,English,-6.261138439178467
41,English,-4.849245548248291
42,English,-6.082729816436768
43,English,-6.925539493560791
44,English,-5.897758483886719
45,English,-6.17702579498291
46,English,-4.533115386962891
47,English,-4.982012748718262
48,English,-7.177997589111328
49,English,-2.860124349594116
50,English,-3.299870491027832
51,English,-5.005012035369873
52,English,-5.950742721557617
53,English,-4.079288959503174
54,English,-3.7079694271087646
55,English,-4.904249668121338
56,English,-2.8826990127563477
57,English,-3.0074844360351562
58,English,-2.911616325378418
59,English,-2.8319811820983887
60,English,-3.8340389728546143
61,English,-3.738631248474121
62,English,-4.55001163482666
63,English,-4.618773937225342
64,English,-4.585751533508301
65,English,-6.489073753356934
66,English,-5.5767083168029785
67,English,-5.184403419494629
68,English,-4.562729358673096
69,English,-5.573510646820068
70,English,-5.3692474365234375
71,English,-4.6934685707092285
72,English,-5.06888484954834
73,English,-4.745728015899658
74,English,-6.1143317222595215
75,English,-5.565855979919434
76,English,-4.844587326049805
77,English,-5.279539108276367
78,English,-5.019347190856934
79,English,-8.029677391052246
80,English,-7.24000358581543
81,English,-4.377678394317627
82,English,-4.278130531311035
83,English,-5.426775932312012
84,English,-5.016271114349365
85,English,-3.5766425132751465
86,English,-3.573201894760132
87,English,-2.733408212661743
88,English,-3.0758047103881836
89,English,-2.9301767349243164
90,English,-4.167490005493164
91,English,-2.5952420234680176
92,English,-4.4107866287231445
93,English,-2.6467883586883545
94,English,-2.691150188446045
95,English,-3.9026412963867188
96,English,-3.0197038650512695
97,English,-4.248464584350586
98,English,-4.727349281311035
99,English,-3.7011661529541016
100,English,-2.7371180057525635
101,English,-3.0416183471679688
102,English,-4.061071872711182
103,English,-4.142119407653809
104,English,-4.1035308837890625
105,English,-2.4596123695373535
106,English,-3.4617929458618164
107,English,-2.5855355262756348
108,English,-2.725475788116455
109,English,-3.3308286666870117
110,English,-4.3902587890625
111,English,-3.696439266204834
112,English,-4.746274948120117
113,English,-2.28873348236084
114,English,-3.339963912963867
115,English,-2.391728401184082
116,English,-2.7477848529815674
117,English,-3.1396541595458984
118,English,-4.908505439758301
119,English,-4.588571071624756
120,English,-3.8630659580230713
121,English,-2.843665599822998
122,English,-3.146035671234131
123,English,-2.9193029403686523
124,English,-2.265742540359497
125,English,-1.858521580696106
126,English,-2.876709461212158
127,English,-2.09527850151062
128,English,-2.933931589126587
129,English,-2.249699592590332
130,English,-2.2855656147003174
131,English,-3.131498336791992
132,English,-3.81601619720459
133,English,-3.213015079498291
134,English,-3.3612895011901855
135,English,-3.2170557975769043
136,English,-2.3990156650543213
137,English,-2.6238670349121094
138,English,-4.322667121887207
139,English,-2.7550766468048096
140,English,-3.4520890712738037
141,English,-2.5650241374969482
142,English,-3.3160672187805176
0,German (Ablated),-11.198787689208984
1,German (Ablated),-11.198787689208984
2,German (Ablated),-11.198593139648438
3,German (Ablated),-11.1953706741333
4,German (Ablated),-11.15415096282959
5,German (Ablated),-10.963729858398438
6,German (Ablated),-9.928936958312988
7,German (Ablated),-8.953433990478516
8,German (Ablated),-7.4115400314331055
9,German (Ablated),-8.716068267822266
10,German (Ablated),-8.68156909942627
11,German (Ablated),-8.394216537475586
12,German (Ablated),-2.870666980743408
13,German (Ablated),-5.199863433837891
14,German (Ablated),-2.0983753204345703
15,German (Ablated),-2.834106922149658
16,German (Ablated),-1.8999836444854736
17,German (Ablated),-1.7391793727874756
18,German (Ablated),-2.4403860569000244
19,German (Ablated),-1.9549213647842407
20,German (Ablated),-1.6518895626068115
21,German (Ablated),-1.5466738939285278
22,German (Ablated),-3.5874085426330566
23,German (Ablated),-0.5640252828598022
24,German (Ablated),-1.524180293083191
25,German (Ablated),-0.9219247698783875
26,German (Ablated),-1.0355557203292847
27,German (Ablated),-1.3888710737228394
28,German (Ablated),-0.6235011219978333
29,German (Ablated),-1.0542510747909546
30,German (Ablated),-1.0238697528839111
31,German (Ablated),-0.6246662735939026
32,German (Ablated),-0.7777397036552429
33,German (Ablated),-1.1346080303192139
34,German (Ablated),-1.2471601963043213
