FirstToken,Checkpoint,GermanLogprob,EnglishLogprob,GermanLogprobAblated,EnglishLogprobAblated
6398,2,-11.910065650939941,-10.742209434509277,-11.903913497924805,-10.740827560424805
271,2,-10.783148765563965,-11.094929695129395,-10.779794692993164,-11.096020698547363
275,2,-11.297565460205078,-10.748270034790039,-11.299464225769043,-10.746076583862305
285,2,-10.494102478027344,-11.170637130737305,-10.495475769042969,-11.169740676879883
287,2,-12.671177864074707,-11.07717227935791,-12.66777229309082,-11.0805025100708
309,2,-11.194233894348145,-10.745208740234375,-11.199536323547363,-10.738442420959473
311,2,-11.447226524353027,-11.45843505859375,-11.448567390441895,-11.459675788879395
312,2,-10.878515243530273,-9.579176902770996,-10.87679386138916,-9.579208374023438
320,2,-11.27667236328125,-10.59274673461914,-11.27618408203125,-10.593859672546387
322,2,-9.605746269226074,-10.886833190917969,-9.60757064819336,-10.887453079223633
323,2,-11.161530494689941,-10.838623046875,-11.163061141967773,-10.83749771118164
359,2,-11.028337478637695,-12.135934829711914,-11.028376579284668,-12.135298728942871
367,2,-11.112397193908691,-11.140542030334473,-11.112886428833008,-11.140426635742188
417,2,-11.246702194213867,-9.97047233581543,-11.25189208984375,-9.969034194946289
430,2,-10.961030960083008,-10.514373779296875,-10.962648391723633,-10.516956329345703
990,2,-9.989992141723633,-11.288395881652832,-9.992711067199707,-11.286276817321777
479,2,-10.692594528198242,-11.32226276397705,-10.698660850524902,-11.327838897705078
512,3,-11.679096221923828,-10.828076362609863,-11.675110816955566,-10.82728385925293
8215,3,-11.124699592590332,-11.233851432800293,-11.117697715759277,-11.235761642456055
4151,3,-11.02590274810791,-10.547541618347168,-11.029871940612793,-10.535849571228027
67,3,-11.776098251342773,-10.519964218139648,-11.77630615234375,-10.523855209350586
77,3,-10.495859146118164,-10.311872482299805,-10.49255084991455,-10.311650276184082
588,3,-11.213354110717773,-10.615506172180176,-11.214674949645996,-10.615680694580078
594,3,-10.698451042175293,-11.269980430603027,-10.683049201965332,-11.273975372314453
4200,3,-11.386055946350098,-11.433558464050293,-11.381922721862793,-11.437249183654785
659,3,-10.471793174743652,-11.134509086608887,-10.471894264221191,-11.133584022521973
717,3,-10.395716667175293,-10.869953155517578,-10.400283813476562,-10.883524894714355
246,3,-11.410261154174805,-11.454790115356445,-11.408600807189941,-11.46245002746582
6398,3,-11.952166557312012,-10.802133560180664,-11.945497512817383,-10.800521850585938
271,3,-10.69688606262207,-11.059332847595215,-10.693659782409668,-11.06027603149414
275,3,-11.304924011230469,-10.735397338867188,-11.306833267211914,-10.733156204223633
285,3,-10.43774127960205,-11.09164810180664,-10.439248085021973,-11.090720176696777
287,3,-12.618474960327148,-11.048891067504883,-12.615043640136719,-11.052234649658203
309,3,-11.167181968688965,-10.735158920288086,-11.172455787658691,-10.728713035583496
311,3,-11.446276664733887,-11.458614349365234,-11.44785213470459,-11.460102081298828
312,3,-10.89778995513916,-9.596272468566895,-10.896026611328125,-9.5963134765625
320,3,-11.325078010559082,-10.581472396850586,-11.324467658996582,-10.582690238952637
322,3,-9.526728630065918,-10.876983642578125,-9.528324127197266,-10.877599716186523
323,3,-11.20298957824707,-10.77529525756836,-11.204669952392578,-10.774237632751465
359,3,-11.037497520446777,-12.132792472839355,-11.03736686706543,-12.132011413574219
367,3,-11.152575492858887,-11.180866241455078,-11.15316104888916,-11.180768013000488
